repository,stars,language,created_at,updated_at,forks,open_issues,size,default_branch,description,url,clone_url,archived,disabled,architecture,community,continuous_integration,documentation,history,issues,license,size_metric,unit_test
freeCodeCamp/freeCodeCamp,422670,TypeScript,2014-12-24T17:49:19Z,2025-07-12T14:46:02Z,40720,301,506367,main,"freeCodeCamp.org's open-source codebase and curriculum. Learn math, programming, and computer science for free.",https://github.com/freeCodeCamp/freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
kamranahmedse/developer-roadmap,331103,TypeScript,2017-03-15T13:45:52Z,2025-07-12T14:35:29Z,42345,269,265130,master,"Interactive roadmaps, guides and other educational content to help developers grow in their careers.",https://github.com/kamranahmedse/developer-roadmap,https://github.com/kamranahmedse/developer-roadmap.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
vuejs/vue,209129,TypeScript,2013-07-29T03:24:51Z,2025-07-12T12:35:23Z,33755,602,32152,main,"This is the repo for Vue 2. For Vue 3, go to https://github.com/vuejs/core",https://github.com/vuejs/vue,https://github.com/vuejs/vue.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
microsoft/vscode,174454,TypeScript,2015-09-03T20:23:38Z,2025-07-12T14:42:07Z,33631,11688,1038153,main,Visual Studio Code,https://github.com/microsoft/vscode,https://github.com/microsoft/vscode.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
yangshun/tech-interview-handbook,127558,TypeScript,2016-07-05T05:00:48Z,2025-07-12T13:23:31Z,15542,56,32795,main,💯 Curated coding interview preparation materials for busy software engineers,https://github.com/yangshun/tech-interview-handbook,https://github.com/yangshun/tech-interview-handbook.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
n8n-io/n8n,117457,TypeScript,2019-06-22T09:24:21Z,2025-07-12T14:46:24Z,35146,961,228372,master,"Fair-code workflow automation platform with native AI capabilities. Combine visual building with custom code, self-host or cloud, 400+ integrations.",https://github.com/n8n-io/n8n,https://github.com/n8n-io/n8n.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
langgenius/dify,106675,TypeScript,2023-04-12T07:40:24Z,2025-07-12T14:31:34Z,16156,776,103426,main,Production-ready platform for agentic workflow development.,https://github.com/langgenius/dify,https://github.com/langgenius/dify.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
microsoft/TypeScript,105219,TypeScript,2014-06-17T15:28:39Z,2025-07-12T11:48:47Z,12919,6081,2939000,main,TypeScript is a superset of JavaScript that compiles to clean JavaScript output.,https://github.com/microsoft/TypeScript,https://github.com/microsoft/TypeScript.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
excalidraw/excalidraw,103449,TypeScript,2020-01-02T01:04:43Z,2025-07-12T14:04:00Z,10251,2222,93500,master,Virtual whiteboard for sketching hand-drawn like diagrams,https://github.com/excalidraw/excalidraw,https://github.com/excalidraw/excalidraw.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
angular/angular,98281,TypeScript,2014-09-18T16:12:01Z,2025-07-12T13:11:06Z,26402,1570,555798,main,Deliver web apps with confidence 🚀,https://github.com/angular/angular,https://github.com/angular/angular.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mui/material-ui,96089,TypeScript,2014-08-18T19:11:54Z,2025-07-12T12:55:23Z,32579,1746,691433,master,Material UI: Comprehensive React component library that implements Google's Material Design. Free forever.,https://github.com/mui/material-ui,https://github.com/mui/material-ui.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ant-design/ant-design,95358,TypeScript,2015-04-24T15:37:24Z,2025-07-12T14:17:00Z,52922,1268,226468,master,An enterprise-class UI design language and React UI library,https://github.com/ant-design/ant-design,https://github.com/ant-design/ant-design.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
iptv-org/iptv,95286,TypeScript,2018-11-14T22:00:57Z,2025-07-12T14:03:20Z,3719,405,932337,master,Collection of publicly available IPTV channels from all over the world,https://github.com/iptv-org/iptv,https://github.com/iptv-org/iptv.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
puppeteer/puppeteer,91139,TypeScript,2017-05-09T22:16:13Z,2025-07-12T12:05:25Z,9228,271,1127167,main,JavaScript API for Chrome and Firefox,https://github.com/puppeteer/puppeteer,https://github.com/puppeteer/puppeteer.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
shadcn-ui/ui,90759,TypeScript,2023-01-04T12:43:27Z,2025-07-12T14:36:09Z,6274,1727,34979,main,"A set of beautifully-designed, accessible components and a code distribution platform. Works with your favorite frameworks. Open Source. Open Code.",https://github.com/shadcn-ui/ui,https://github.com/shadcn-ui/ui.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
tailwindlabs/tailwindcss,88901,TypeScript,2017-10-06T14:59:14Z,2025-07-12T14:11:14Z,4619,84,111389,main,A utility-first CSS framework for rapid UI development.,https://github.com/tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
storybookjs/storybook,87221,TypeScript,2016-03-18T04:23:44Z,2025-07-12T12:05:30Z,9609,2177,1037954,next,"Storybook is the industry standard workshop for building, documenting, and testing UI components in isolation",https://github.com/storybookjs/storybook,https://github.com/storybookjs/storybook.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
supabase/supabase,85597,TypeScript,2019-10-12T05:56:49Z,2025-07-12T14:22:00Z,9183,717,1725611,master,"The Postgres development platform. Supabase gives you a dedicated Postgres database to build your web, mobile, and AI applications.",https://github.com/supabase/supabase,https://github.com/supabase/supabase.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ChatGPTNextWeb/NextChat,84121,TypeScript,2023-03-10T18:27:54Z,2025-07-12T12:24:05Z,61054,746,20563,main,✨ Light and Fast AI Assistant. Support: Web | iOS | MacOS | Android |  Linux | Windows,https://github.com/ChatGPTNextWeb/NextChat,https://github.com/ChatGPTNextWeb/NextChat.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gothinkster/realworld,81934,TypeScript,2016-02-26T20:49:53Z,2025-07-12T14:33:17Z,7465,69,35011,main,"""The mother of all demo apps"" — Exemplary fullstack Medium.com clone powered by React, Angular, Node, Django, and many more",https://github.com/gothinkster/realworld,https://github.com/gothinkster/realworld.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mermaid-js/mermaid,81155,TypeScript,2014-11-01T23:52:32Z,2025-07-12T14:38:13Z,7773,1400,251430,develop,Generation of diagrams like flowcharts or sequence diagrams from text in a similar manner as markdown,https://github.com/mermaid-js/mermaid,https://github.com/mermaid-js/mermaid.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
microsoft/playwright,74702,TypeScript,2019-11-15T18:32:42Z,2025-07-12T14:43:47Z,4336,829,174055,main,"Playwright is a framework for Web Testing and Automation. It allows testing Chromium, Firefox and WebKit with a single API. ",https://github.com/microsoft/playwright,https://github.com/microsoft/playwright.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
