conflict_id,full_conflict_lines,context_before_lines,conflict_lines,context_after_lines,resolution_lines,parent1_lines,parent2_lines,base_lines,num_tokens_query,resolution_in_left_or_right,selected
0-0-0-1,19,5,9,5,5,1,5,-1,261,True,False
1-110-0-1,27,5,17,5,13,8,6,-1,380,False,False
1-110-0-2,21,5,11,5,4,2,6,-1,325,True,False
1-110-0-3,21,5,11,5,8,2,6,-1,299,False,False
1-113-0-1,15,5,5,5,1,1,1,-1,209,True,False
1-113-1-1,31,5,21,5,13,13,5,-1,341,True,False
1-116-0-1,29,5,19,5,11,11,5,-1,366,True,False
1-117-0-1,16,5,6,5,0,0,3,-1,250,True,False
1-117-1-1,17,5,7,5,1,1,3,-1,254,True,False
1-117-2-1,79,5,69,5,68,8,58,-1,625,False,False
1-119-0-1,388,5,378,5,1,374,1,-1,2843,True,False
1-121-1-1,21,5,11,5,6,3,5,-1,292,False,False
1-121-5-1,17,5,7,5,2,2,2,-1,265,False,False
1-121-8-1,20,5,10,5,6,7,0,-1,245,True,False
1-150-0-1,16,5,6,5,2,1,2,-1,233,True,False
1-150-0-2,190,5,180,5,92,92,85,-1,1522,True,False
1-150-0-3,17,5,7,5,4,1,3,-1,232,False,True
1-150-2-1,21,5,11,5,4,4,4,-1,248,False,False
1-150-2-2,18,5,8,5,2,3,2,-1,247,False,True
1-150-4-1,86,5,76,5,35,38,35,-1,714,False,False
1-150-4-2,115,5,105,5,50,52,50,-1,856,False,False
1-150-5-1,43,5,33,5,15,15,15,-1,424,True,False
1-150-6-1,17,5,7,5,1,3,1,-1,224,True,False
1-86-0-1,30,5,20,5,14,14,3,-1,338,True,False
1-86-1-1,14,5,4,5,1,1,0,-1,224,True,False
1-86-1-2,15,5,5,5,1,1,1,-1,247,True,False
1-86-1-3,23,5,13,5,5,5,5,-1,234,True,False
1-88-0-1,21,5,11,5,1,7,1,-1,290,True,False
1-96-0-1,21,5,11,5,9,6,2,-1,285,False,False
1-96-1-1,15,5,5,5,3,1,1,-1,273,False,False
1-96-1-2,17,5,7,5,25,1,3,-1,250,False,True
12-42-0-1,204,5,194,5,177,177,14,-1,2032,True,False
