merge_idx,repository,branch_name,merge_commit,parent_1,parent_2,notes
0,minman/wicketforge,refs/heads/master,e37e21a29b41f806a321778ffe81dfdbf064fc1a,aeb9252740f70264ffc7cdd90f361f905af9165f,86ea87537c60c7820ae7b50f8e7b037326e66858,a parent is the base
1,minman/wicketforge,refs/heads/master,aeb9252740f70264ffc7cdd90f361f905af9165f,5a6196f43ebb28cf8035b84618568e5062dd38a6,904bfab8a07ad805e2db7de13be9f20c98b54071,
2,minman/wicketforge,refs/heads/master,39466de63b5d2aabb200801f30ba7991fb784d41,e6806d0530d2dc90fecf33582fc266f56e975115,919d31598254fd7d7e96d6f8b75f1803d296f374,a parent is the base
3,minman/wicketforge,refs/heads/master,0037d9082159cc1649b7b81b5bf493d368d8896e,517b8b145ca58ec18e1289b743b6b732c0746fef,1f94fdb4e4bdb983a1d9b446d6b3e0fccc641862,a parent is the base
4,minman/wicketforge,refs/heads/master,517b8b145ca58ec18e1289b743b6b732c0746fef,99c5239f0da04de9764b4609eaba93d0f764a49f,89ce5ca983901937448eec583e19e7d16ffd132b,a parent is the base
5,minman/wicketforge,refs/heads/master,0ae755f1fc0e1f68119b541235e9123813cf40fe,a3119d388bfc99e4bfddb9ef998282f24d730943,9eeb3b90ded56f27a794a19318c7ab0bbb7e3c63,a parent is the base
6,minman/wicketforge,refs/heads/master,d60ee93a109e76489e20767c4fbc8f67ed5370b3,60e30dd7b93cf7ede8874791c5707ea47b67eac1,7e87839abfaf0a236023ddc364df998f14e36901,a parent is the base
7,minman/wicketforge,refs/heads/master,59d0a7224e9853944e9a1fa40399f658e5f22a4c,42b8e0cb6b9b8b5fbd0273697ba6a80ab64a6ffb,ece85e17a58a1708d1c8b6acd43a92f10bb780ba,a parent is the base
8,minman/wicketforge,refs/heads/master,4c4b3472a922527ec3620f9be504a624f6863f2d,17187afb3d97aabbc2949efc4092846cd99c4448,e821abb6750f32126ec0d2ef5329c32d805fc9b8,a parent is the base
9,minman/wicketforge,refs/heads/master,dd21769bb54c65777c684877ad49f40081c95dc0,88b7fb68275d90a451bd77f4446cd46090e331b4,1970f90b6ccf6c29a07624a33e59b2c1d0a11278,a parent is the base
10,minman/wicketforge,refs/heads/master,989426dc2bc67a02337976d3fc784f181c1b3633,7a34b15809015a0a598715e67fb3ba8a2354e06e,075141a6a7a4041df17e5804a0f131c83d18153e,a parent is the base
11,minman/wicketforge,refs/heads/master,c3e63b10751245ceda604cfdd9a73789dd3ea267,b5731938d99e8d8b8f3bf668394be67890907d53,31582203413e793cd2469c2ee957ebe2bb8d186a,a parent is the base
12,minman/wicketforge,refs/heads/master,ef265ad633eb130f7b2c9a212d8434385dafc5a4,6e483a1e62620b6dceb7046fe3a664a83c4608c3,e0d285801b1dcc42898057017c7a39a776d1eede,a parent is the base
13,minman/wicketforge,refs/heads/master,48420b16807a4f983be58030ee7f62533817b43c,1fe35853269404c4dcb2837856b25eb2a77148d6,cbf9d6a460c8c3e04e4c09c19a841b0f0614dd64,a parent is the base
14,minman/wicketforge,refs/remotes/origin/3.x,64d8de19f654bb64d0686bcec33956685b22a6c2,d175ce2e6e2fa2d69f2388e77478f4ec545455b4,f695b722de104b57702b40ed078ecab7a883dec8,a parent is the base
15,minman/wicketforge,refs/remotes/origin/pull/203,f7f4d3bf18e25c95135e4e8a27d564dadf1ca228,bebe298e3f0dd8f05240f609d8e59b036fb339da,e37e21a29b41f806a321778ffe81dfdbf064fc1a,
